Date,County,Confirmed Cases,Total Tested,Negative,Deaths,Lat,Lon
"APRIL 26, 2020",Illinois,43903,214952,0,1933,39.839888,-89.510168
"APRIL 26, 2020",Chicago,17865,0,0,740,41.789896,-87.627734
"APRIL 26, 2020",Adams,32,0,0,0,40.0578,-91.1353
"APRIL 26, 2020",Alexander,3,0,0,0,37.167,-89.3606
"APRIL 26, 2020",Bond,5,0,0,1,38.903,-89.4742
"APRIL 26, 2020",Boone,76,0,0,8,42.3485,-88.8263
"APRIL 26, 2020",Brown,0,0,0,0,0,0
"APRIL 26, 2020",Bureau,10,0,0,0,0,0
"APRIL 26, 2020",Calhoun,1,0,0,0,0,0
"APRIL 26, 2020",Carroll,9,0,0,2,42.0386,-89.9627
"APRIL 26, 2020",Cass,27,0,0,0,0,0
"APRIL 26, 2020",Champaign,105,0,0,5,40.2139,-88.2461
"APRIL 26, 2020",Christian,28,0,0,4,39.5672,-89.3227
"APRIL 26, 2020",Clark,4,0,0,0,0,0
"APRIL 26, 2020",Clay,2,0,0,0,0,0
"APRIL 26, 2020",Clinton,84,0,0,1,38.5684,-89.6252
"APRIL 26, 2020",Coles,22,0,0,1,39.556,-88.2461
"APRIL 26, 2020",Cook,12709,0,0,573,42.050784,-87.963759
"APRIL 26, 2020",Crawford,10,0,0,0,0,0
"APRIL 26, 2020",Cumberland,3,0,0,0,0,0
"APRIL 26, 2020",DeKalb,71,0,0,1,41.833,-88.7109
"APRIL 26, 2020",De Witt,1,0,0,0,0,0
"APRIL 26, 2020",Douglas,13,0,0,0,0,0
"APRIL 26, 2020",DuPage,2443,0,0,131,41.8244,-88.0901
"APRIL 26, 2020",Edgar,0,0,0,0,0,0
"APRIL 26, 2020",Edwards,0,0,0,0,0,0
"APRIL 26, 2020",Effingham,5,0,0,1,39.0622,-88.5565
"APRIL 26, 2020",Fayette,16,0,0,2,39.067,-89.0179
"APRIL 26, 2020",Ford,8,0,0,1,40.4989,-88.2072
"APRIL 26, 2020",Franklin,8,0,0,0,0,0
"APRIL 26, 2020",Fulton,3,0,0,0,0,0
"APRIL 26, 2020",Gallatin,2,0,0,0,0,0
"APRIL 26, 2020",Greene,2,0,0,0,0,0
"APRIL 26, 2020",Grundy,30,0,0,0,0,0
"APRIL 26, 2020",Hamilton,2,0,0,0,0,0
"APRIL 26, 2020",Hancock,4,0,0,0,0,0
"APRIL 26, 2020",Hardin,1,0,0,0,0,0
"APRIL 26, 2020",Henderson,4,0,0,0,0,0
"APRIL 26, 2020",Henry,36,0,0,0,0,0
"APRIL 26, 2020",Iroquois,18,0,0,0,0,0
